site,year
724060,1976
724650,1983
722340,1980
723170,1979
722080,1992
724320,1994
724650,1975
723340,1991
725190,1967
725350,1962
724230,1991
725480,1990
725240,1980
725330,1990
725360,1979
724510,1974
723270,1970
722260,1970
723230,1993
725260,1962
725300,1982
722510,1962
722500,2001
725370,1963
723040,1989
725170,1973
726580,1962
725330,1985
723060,1963
723230,1962
724290,1982
724060,1966
722140,1982
725280,1965
726540,1999
724560,1981
723270,1985
723230,1984
726360,1994
724500,1979
722230,1973
725460,1983
726350,1989
723170,1990
725390,1994
724380,2004
725570,1984
724460,1977
727640,1973
725460,1990
725440,1981
727530,1973
724500,1964
724560,1987
722350,1974
722080,2004
726580,1979
725440,1982
727640,1995
725190,1986
725350,1980
724460,1986
725320,1975
722230,1961
724230,1992
726360,1999
724380,1980
725300,1984
726400,1981
724230,1979
725320,1990
725570,1989
724060,1987
725430,1990
722080,1993
727530,1995
722080,1998
725390,1983
722530,1973
725390,1961
724230,1963
727640,1976
726510,1991
724230,1998
725190,1962
723270,1987
726360,1993
725370,1982
725360,1991
725570,1973
724510,1973
726540,1987
725330,1986
726350,1980
724560,1979
724460,1978
722560,1981
726540,1964
724650,1990
723080,1992
727640,1975
725360,1980
726370,1961
725240,1985
725300,1985
725170,1982
724230,1989
725300,1979
723270,1979
723060,1961
725170,1983
723340,1977
725240,1964
723230,1998
725280,1992
726400,1975
726350,1987
725260,1993
722140,1979
724340,1990
725260,1974
723340,1978
722510,1994
725370,1962
722540,1980
722350,1979
724460,1980
724230,2002
722530,1989
725370,1992
726510,1993
722540,1995
725480,1982
724380,1997
725240,1982
725460,1974
722530,1974
727530,1992
725280,1980
723080,1973
722080,1988
726580,1990
726350,1985
725480,1976
723230,1987
723270,1973
725480,1981
726540,1991
725430,1993
722140,1994
725390,2003
725460,1993
723170,1973
724290,1981
727530,1994
722530,1992
722560,1962
722230,1975
725480,1986
724340,1975
725290,1995
722530,1982
725360,1974
724060,1979
725290,1981
725320,1988
725210,1980
724320,1993
722560,1965
724650,1981
722350,1989
725210,1983
723060,1985
724510,1975
727530,1989
725210,1991
722230,2000
724510,1995
723270,1962
725480,1988
725170,1990
726580,1994
725260,1964
726540,1973
725330,1995
724060,1985
726540,1979
725280,1981
722560,1990
722500,1987
722080,1962
725260,1987
725350,1990
726450,1984
723170,1983
725370,1994
724560,1995
725440,1980
725210,1995
724460,1982
727640,1993
724290,1990
726400,1979
727530,1982
727640,1964
725280,1993
724500,1962
726510,1963
724500,2002
725370,1981
725430,1985
726350,1994
726370,1992
725280,1991
726410,1984
722350,1972
723060,1982
726580,1975
726540,1993
726510,1984
725360,1984
725170,1974
727530,1978
725370,1980
724230,2004
725460,1982
722340,1975
725210,1961
722080,1963
723080,1962
723230,1988
725480,1983
723170,1987
724230,1987
726370,1973
725240,1993
725350,1988
726450,1964
725360,1975
724230,1980
725300,1992
726580,1974
722540,1962
726360,1990
723340,1964
724560,1975
723080,1970
722230,1985
725260,1981
725280,1984
725460,1986
724650,1994
722230,1996
726360,1979
722530,1981
722140,1983
724320,1989
724060,1978
725390,1993
725290,1991
726450,1961
723230,1990
726370,1991
726580,1991
722500,1992
724500,1994
726540,1984
726410,1982
724320,1971
723080,1981
725570,1985
725300,1975
727530,1993
724230,2005
723340,1986
722510,1980
725280,1995
723340,1963
