site,year,temp,temp_var,rh,rh_var,vpd,precip,precip_var,solrad,solrad_var
724230,1975,18.89,3.9474606870593876,68.43,4.392427023264022,0.7,822.4,0.001466259170847032,213.14,353.90518731345355
725210,1989,14.93,5.081188163330505,73.27,4.796026680010346,0.46,719.3,0.000990089335631238,197.83,340.57871146968887
722500,1981,26.42,0.89133088511705,74.35,3.1356204842689417,0.9,616.7,0.0032126074682641346,236.07,388.1593675497064
723040,1987,20.56,2.588771727307596,79.28,2.876841858447154,0.51,932.2,0.0021328057058166245,233.39,383.5485583381453
725390,1980,14.25,6.615841586946228,77.47,4.356567832260023,0.37,509.95,0.0011007193927421697,200.98,321.54223700067996
725370,1995,16.15,5.254860973462636,66.93,4.836375541896183,0.61,407.9,0.0008255731769085847,200.55,341.8120507850577
726510,1989,14.96,7.981263089878596,65.44,6.841947198172071,0.59,354.5,0.0016205426741736546,230.91,357.60761719848483
723170,1986,20.07,2.916444662651052,67.03,7.660913259579066,0.78,433.4,0.0018921188867075985,229.9,374.2236687618176
723230,1961,20.33,2.437423293490234,69.18,5.383353589352874,0.75,738.2,0.0017801568464962338,216.22,367.73365149538995
726540,1976,15.58,7.958620899918878,57.04,9.574497783368923,0.77,193.8,0.0008306440661541352,242.39,356.7385658914403
725320,1987,18.54,3.9908748457380003,66.35,6.77538930064741,0.73,455.3,0.0018318637186053193,227.22,366.1925944779934
725300,1993,15.12,5.535792294776646,74.85,4.311825000606482,0.44,910.9,0.0016918735615498346,181.46,340.49127752493484
724320,1984,18.26,4.325340585676189,65.58,4.051705123794547,0.73,769.8,0.0015464074320358275,223.66,371.8834877040996
725440,1989,16.07,5.64435492558055,69.34,5.120627037201813,0.56,685.9,0.001403013074099638,216.02,353.3617685707482
725370,1968,15.76,4.610429407331204,66.62,4.018915215395603,0.6,601.0,0.00133060057694996,211.34,349.0352080246927
723060,1984,18.79,3.103703427382112,71.38,5.2945841338325454,0.63,754.8,0.0015778231717894443,230.01,379.00065461860555
725190,1993,14.27,6.33149414681388,71.78,5.076517321249691,0.46,739.0,0.0009816899230234023,195.85,360.90992227408054
725290,1973,15.95,4.592757999823984,68.75,5.715644548997651,0.57,402.6,0.0005929386612611238,201.1,320.13885861243034
725260,1973,14.58,4.092809029620114,77.7,3.1947305099695016,0.37,625.3,0.001212986520049049,200.89,341.1966475136659
726400,1987,15.9,4.855098078192939,70.95,4.29000665155783,0.53,728.7,0.0011462560153517652,216.94,354.9167979772186
725210,1984,14.16,6.029242237424675,70.58,4.314900473381131,0.48,570.6,0.000757302666640889,197.8,336.19035688952613
724290,1972,16.12,5.100660498830442,69.98,4.844139770408573,0.55,601.7,0.0009756684924579244,205.31,349.1563368412886
725370,1979,14.33,5.151037209562565,73.19,3.984352658659092,0.44,595.8,0.002029171887495912,203.75,346.2716897608079
726400,1976,15.13,4.825465594413348,67.29,4.388527731271601,0.57,609.1,0.0013317022594969952,224.82,360.6624978093346
725320,1994,17.28,4.366588000205832,67.82,5.744830652597468,0.64,343.45,0.0006966122678302982,227.53,375.3264388468356
727530,1987,15.21,6.2534371090224745,65.24,7.207153794042979,0.61,324.9,0.0012852966492394268,220.05,339.3265535356118
725300,1995,16.84,5.492995946875749,67.27,5.001670220053593,0.63,533.85,0.0013557407511365885,207.01,359.8433345502281
725430,1962,15.15,6.142177491372471,69.54,5.388376518094655,0.53,549.3,0.001500593594493925,215.55,351.1978824445523
725390,1988,15.48,6.39441678599709,65.08,7.1906417148216555,0.62,509.5,0.0013519862209242929,227.87,364.3230293588791
724460,1974,18.31,3.769618153035782,62.92,5.43122267081494,0.79,600.8,0.0020136247145413184,231.8,373.33157329837667
723040,1963,19.89,1.7046424504198066,76.98,2.909813591264848,0.54,837.1,0.002219475862349769,219.95,384.77400939961797
723340,1984,21.45,2.648578012733128,68.27,4.239799554076358,0.82,835.65,0.0020454092145654667,236.41,391.00959650616295
724460,1992,17.31,3.3548792961352887,71.93,5.320067306858974,0.56,948.0,0.002401288064146519,212.6,372.4988397971083
727530,1961,13.68,7.68408923574944,65.62,6.4203191363209555,0.54,389.2,0.0013244212130638627,213.63,338.8233283376907
725320,1973,17.32,3.432909112357414,71.87,3.5640673454513747,0.56,909.4,0.001561177520390391,206.24,349.81536136305266
723040,1975,21.01,2.248723199455417,77.1,3.0708002176608464,0.58,734.8,0.001329942545726025,231.25,383.97346298980443
