site,year,doy,pdate
726440,1988,127,1988-05-06
726440,1989,132,1989-05-12
726440,1992,130,1992-05-09
726440,1993,130,1993-05-10
726440,1994,128,1994-05-08
726450,1961,135,1961-05-15
726450,1962,131,1962-05-11
726450,1964,127,1964-05-06
726450,1965,130,1965-05-10
726450,1966,143,1966-05-23
726450,1969,133,1969-05-13
726450,1971,134,1971-05-14
726450,1975,138,1975-05-18
726450,1977,112,1977-04-22
726450,1979,136,1979-05-16
726450,1980,126,1980-05-05
726450,1981,128,1981-05-08
726450,1982,129,1982-05-09
726450,1984,140,1984-05-19
726450,1986,118,1986-04-28
726450,1988,129,1988-05-08
726450,1992,132,1992-05-11
726450,1994,130,1994-05-10
726450,1999,123,1999-05-03
726450,2000,124,2000-05-03
726450,2001,122,2001-05-02
726510,1961,132,1961-05-12
726510,1962,122,1962-05-02
726510,1963,98,1963-04-08
726510,1966,125,1966-05-05
726510,1967,116,1967-04-26
726510,1968,103,1968-04-12
726510,1970,126,1970-05-06
726510,1972,136,1972-05-15
726510,1973,125,1973-05-05
726510,1975,130,1975-05-10
726510,1979,132,1979-05-12
726510,1980,113,1980-04-22
726510,1983,131,1983-05-11
726510,1984,135,1984-05-14
726510,1985,108,1985-04-18
726510,1986,117,1986-04-27
726510,1987,108,1987-04-18
726510,1988,120,1988-04-29
726510,1989,114,1989-04-24
726510,1990,113,1990-04-23
726510,1991,106,1991-04-16
726510,1993,128,1993-05-08
726510,1994,114,1994-04-24
726510,1995,131,1995-05-11
726510,1998,119,1998-04-29
726510,1999,122,1999-05-02
726510,2001,120,2001-04-30
726510,2004,109,2004-04-18
726510,2005,103,2005-04-13
726540,1964,117,1964-04-26
726540,1966,126,1966-05-06
726540,1967,118,1967-04-28
726540,1970,127,1970-05-07
726540,1972,136,1972-05-15
726540,1973,125,1973-05-05
726540,1974,118,1974-04-28
726540,1975,131,1975-05-11
726540,1976,106,1976-04-15
726540,1979,136,1979-05-16
726540,1980,116,1980-04-25
726540,1981,107,1981-04-17
726540,1982,122,1982-05-02
726540,1983,129,1983-05-09
726540,1984,133,1984-05-12
726540,1985,109,1985-04-19
726540,1986,123,1986-05-03
726540,1987,108,1987-04-18
726540,1988,120,1988-04-29
726540,1991,108,1991-04-18
726540,1992,122,1992-05-01
726540,1993,126,1993-05-06
726540,1999,118,1999-04-28
726540,2001,122,2001-05-02
726540,2002,114,2002-04-24
726540,2003,106,2003-04-16
726550,1983,134,1983-05-14
726550,1989,132,1989-05-12
726550,1990,116,1990-04-26
726550,1993,129,1993-05-09
726550,1994,131,1994-05-11
726580,1962,124,1962-05-04
726580,1964,125,1964-05-04
726580,1966,136,1966-05-16
726580,1974,122,1974-05-02
726580,1975,136,1975-05-16
726580,1977,107,1977-04-17
726580,1978,129,1978-05-09
726580,1979,135,1979-05-15
726580,1980,118,1980-04-27
726580,1981,115,1981-04-25
726580,1983,131,1983-05-11
726580,1984,133,1984-05-12
726580,1985,112,1985-04-22
726580,1986,118,1986-04-28
726580,1988,123,1988-05-02
726580,1990,115,1990-04-25
726580,1991,117,1991-04-27
726580,1992,128,1992-05-07
726580,1993,127,1993-05-07
726580,1994,125,1994-05-05
726580,1995,131,1995-05-11
726580,1997,127,1997-05-07
726590,1992,122,1992-05-01
726590,1993,126,1993-05-06
726590,1996,139,1996-05-18
726590,1997,136,1997-05-16
726590,1998,121,1998-05-01
726590,1999,122,1999-05-02
726590,2000,181,2000-06-29
726590,2001,125,2001-05-05
726620,1964,123,1964-05-02
726620,1965,122,1965-05-02
726620,1968,120,1968-04-29
726620,1969,113,1969-04-23
726620,1971,122,1971-05-02
726620,1973,127,1973-05-07
726620,1974,112,1974-04-22
726620,1975,133,1975-05-13
726620,1979,124,1979-05-04
726620,1980,116,1980-04-25
726620,1983,124,1983-05-04
726620,1984,130,1984-05-09
726620,1986,113,1986-04-23
726620,1988,103,1988-04-12
726620,1989,112,1989-04-22
726620,1990,112,1990-04-22
726620,1993,124,1993-05-04
726620,1995,124,1995-05-04
726620,1997,118,1997-04-28
726880,1961,99,1961-04-09
726880,1964,113,1964-04-22
726880,1965,110,1965-04-20
726880,1966,99,1966-04-09
726880,1969,112,1969-04-22
726880,1974,104,1974-04-14
726880,1975,114,1975-04-24
726880,1978,108,1978-04-18
726880,1980,114,1980-04-23
726880,1981,111,1981-04-21
726880,1984,114,1984-04-23
726880,1985,102,1985-04-12
726880,1986,97,1986-04-07
726880,1987,100,1987-04-10
726880,1989,106,1989-04-16
726880,1991,109,1991-04-19
726880,1992,94,1992-04-03
726880,1993,116,1993-04-26
726880,1994,97,1994-04-07
726880,1995,93,1995-04-03
726880,1997,108,1997-04-18
726880,1999,108,1999-04-18
727450,1961,150,1961-05-30
727450,1962,145,1962-05-25
727450,1963,143,1963-05-23
727450,1965,142,1965-05-22
727450,1966,152,1966-06-01
727450,1969,148,1969-05-28
727450,1971,148,1971-05-28
727450,1972,143,1972-05-22
727450,1974,154,1974-06-03
727450,1978,140,1978-05-20
727450,1980,126,1980-05-05
727450,1981,141,1981-05-21
727450,1982,142,1982-05-22
727450,1984,144,1984-05-23
727450,1985,130,1985-05-10
727450,1987,119,1987-04-29
727450,1988,136,1988-05-15
727450,1989,141,1989-05-21
727450,1990,133,1990-05-13
727450,1991,134,1991-05-14
727450,1994,140,1994-05-20
727450,1995,149,1995-05-29
727450,1996,157,1996-06-05
727450,2005,145,2005-05-25
727530,1961,141,1961-05-21
727530,1963,125,1963-05-05
727530,1964,125,1964-05-04
727530,1965,132,1965-05-12
727530,1966,143,1966-05-23
727530,1967,144,1967-05-24
727530,1968,122,1968-05-01
727530,1971,125,1971-05-05
727530,1972,137,1972-05-16
727530,1973,129,1973-05-09
727530,1976,129,1976-05-08
727530,1978,131,1978-05-11
727530,1979,145,1979-05-25
727530,1980,117,1980-04-26
727530,1981,122,1981-05-02
727530,1982,124,1982-05-04
727530,1984,136,1984-05-15
727530,1985,120,1985-04-30
727530,1987,113,1987-04-23
727530,1989,131,1989-05-11
727530,1991,124,1991-05-04
727530,1992,128,1992-05-07
727530,1993,128,1993-05-08
727530,1994,131,1994-05-11
727530,1995,138,1995-05-18
727640,1961,135,1961-05-15
727640,1964,130,1964-05-09
727640,1968,127,1968-05-06
727640,1970,139,1970-05-19
727640,1972,137,1972-05-16
727640,1973,130,1973-05-10
727640,1975,137,1975-05-17
727640,1976,128,1976-05-07
727640,1977,116,1977-04-26
727640,1980,118,1980-04-27
727640,1981,118,1981-04-28
727640,1983,138,1983-05-18
727640,1984,138,1984-05-17
727640,1986,124,1986-05-04
727640,1987,115,1987-04-25
727640,1989,128,1989-05-08
727640,1990,114,1990-04-24
727640,1991,116,1991-04-26
727640,1992,123,1992-05-02
727640,1993,127,1993-05-07
727640,1995,138,1995-05-18
727640,1998,120,1998-04-30
727810,1961,105,1961-04-15
727810,1963,116,1963-04-26
727810,1964,116,1964-04-25
727810,1967,121,1967-05-01
727810,1969,112,1969-04-22
727810,1970,108,1970-04-18
727810,1971,119,1971-04-29
727810,1972,110,1972-04-19
727810,1973,99,1973-04-09
727810,1974,108,1974-04-18
727810,1975,120,1975-04-30
727810,1977,97,1977-04-07
727810,1979,107,1979-04-17
727810,1980,109,1980-04-18
727810,1981,89,1981-03-30
727810,1982,112,1982-04-22
727810,1983,100,1983-04-10
727810,1984,111,1984-04-20
727810,1987,104,1987-04-14
727810,1988,102,1988-04-11
727810,1993,115,1993-04-25
727810,1994,100,1994-04-10
727810,1995,106,1995-04-16
727810,1998,111,1998-04-21
727810,2005,97,2005-04-07
727815,1991,180,1991-06-29
727815,1993,165,1993-06-14
